,station_id,contract_name,station_name,station_address,has_payment_terminal,is_bonus_station,station_status,last_update,is_connected,allows_overflow,shape,overflowStands,position_latitude,position_longitude,totalStands_capacity,totalStands_availabilities.bikes,totalStands_availabilities.stands,totalStands_availabilities.mechanicalBikes,total_electrical_bikes,total_internal_battery_bikes,total_removable_battery_bikes,main_stand_capacity,main_stand_available_bikes,main_stand_available_stands,main_stand_mechanical_bikes,main_stand_electrical_bikes,main_stand_internal_battery_bikes,main_stand_removable_battery_bikes
46,19,dublin,HERBERT PLACE,Herbert Place,False,False,OPEN,2024-12-25 13:43:25,True,False,,,53.334432,-6.245575,30,0,30,0,0,0,0,30,0,30,0,0,0,0
47,7,dublin,HIGH STREET,High Street,False,False,OPEN,2024-12-25 13:49:36,True,False,,,53.343565,-6.275071,29,2,27,1,1,0,1,29,2,27,1,1,0,1
48,60,dublin,NORTH CIRCULAR ROAD,North Circular Road,False,False,OPEN,2024-12-25 13:44:15,True,False,,,53.359624,-6.260348,30,11,19,11,0,0,0,30,11,19,11,0,0,0
49,102,dublin,WESTERN WAY,Western Way,False,False,OPEN,2024-12-25 13:42:54,True,False,,,53.354929,-6.269425,40,8,32,7,1,0,1,40,8,32,7,1,0,1
50,38,dublin,TALBOT STREET,Talbot Street,False,False,OPEN,2024-12-25 13:47:42,True,False,,,53.350974,-6.25294,40,10,29,8,2,0,2,40,10,29,8,2,0,2
51,53,dublin,NEWMAN HOUSE,Newman House,False,False,OPEN,2024-12-25 13:45:41,True,False,,,53.337132,-6.26059,40,13,27,12,1,0,1,40,13,27,12,1,0,1
52,58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,False,False,OPEN,2024-12-25 13:45:17,True,False,,,53.339218,-6.240642,40,33,7,24,9,0,9,40,33,7,24,9,0,9
53,66,dublin,NEW CENTRAL BANK,New Central Bank,False,False,OPEN,2024-12-25 13:44:09,True,False,,,53.347122,-6.234749,40,2,38,1,1,0,1,40,2,38,1,1,0,1
54,104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),False,False,OPEN,2024-12-25 13:44:24,True,False,,,53.355173,-6.278424,40,7,33,2,5,0,5,40,7,33,2,5,0,5
55,101,dublin,KING STREET NORTH,King Street North,False,False,OPEN,2024-12-25 13:50:22,True,False,,,53.350291,-6.273507,30,7,23,4,3,0,3,30,7,23,4,3,0,3
56,115,dublin,KILLARNEY STREET,Killarney Street,False,False,OPEN,2024-12-25 13:44:23,True,False,,,53.354845,-6.247579,30,29,1,23,6,0,6,30,29,1,23,6,0,6
57,47,dublin,HERBERT STREET,Herbert Street,False,False,OPEN,2024-12-25 13:47:10,True,False,,,53.335742,-6.24551,40,1,39,1,0,0,0,40,1,39,1,0,0,0
58,117,dublin,HANOVER QUAY EAST,Hanover Quay East,False,False,OPEN,2024-12-25 13:46:19,True,False,,,53.343653,-6.231755,40,4,36,3,1,0,1,40,4,36,3,1,0,1
59,8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,False,False,OPEN,2024-12-25 13:47:43,True,False,,,53.347884,-6.248048,30,10,20,7,3,0,3,30,10,20,7,3,0,3
60,27,dublin,MOLESWORTH STREET,Molesworth Street,False,False,OPEN,2024-12-25 13:50:05,True,False,,,53.341288,-6.258117,20,1,19,1,0,0,0,20,1,19,1,0,0,0
